"111271";"Praktický slovník rusko-český, česko-ruský";;"Lingea";"2011";"http://www.martinus.sk/data/tovar/_m/111/m111271.jpg";"0";"Nejnovější verze znamenitého elektronického slovníku Lingea Lexicon 5 přináší aktualizovaná data ve zcela nové aplikaci. Slovník věrně odráží současný jazyk, obsahuje nová slova náležející k všeobecné slovní zásobě i odborné terminologii."
"111272";"Praktický slovník španělsko-český, česko-španělský";;"Lingea";"2011";"http://www.martinus.sk/data/tovar/_m/111/m111272.jpg";"0";"Nejnovější verze znamenitého elektronického slovníku Lingea Lexicon 5 přináší aktualizovaná data ve zcela nové aplikaci. Slovník věrně odráží současný jazyk, obsahuje nová slova náležející k všeobecné slovní zásobě i odborné terminologii."
"111273";"he Mind in the Cave";"David Lewis-Williams";"Thames & Hudson";"2004";"http://www.martinus.sk/data/tovar/_m/111/m111273.jpg";"0";"The breathtakingly beautiful art created deep inside the caves of western Europe in the late Ice Age provokes awe and wonder in equal measure..."
"111274";"On the Origin of Stories";"Brian Boyd";"The Belknap Press";"2010";"http://www.martinus.sk/data/tovar/_m/111/m111274.jpg";"0";"A century and a half after the publication of \"Origin of Species\", evolutionary thinking has expanded beyond the field of biology to include virtually all human-related subjects - anthropology, archeology, psychology, ..."
"111385";"New Headway Upper - Intermediate - Class Audio CDs";;"Oxford University Press";"0000";"http://www.martinus.sk/data/tovar/_m/111/m111385.jpg";"0";"The world's best-selling adult English course - a perfectly-balanced syllabus, strong grammar focus, and full support for your upper-intermediate classroom..."
"111386";"Essays on Aristotle's Poetics";"Amelie Oksenberg Rorty";"Princeton Review";"0000";"http://www.martinus.sk/data/tovar/_m/111/m111386.jpg";"0";"Aimed at deepening our understanding of the Poetics, this collection places Aristotle's analysis of tragedy in its larger philosophical context..."
"111387";"Post-Theory";"David Bordwell";"University of Wisconsin Press";"0000";NULL;"0";
"111388";"The Personal Camera";"Laura Rascaroli";"Columbia University Press";"0000";"http://www.martinus.sk/data/tovar/_m/111/m111388.jpg";"0";"The Personal Camera is an exploration of an elusive but increasingly compelling field: essayistic cinema. The essay film, together with its cognate forms - the diary, the travelogue, the notebook and the self-portrait - is cinema in the first person..."
"111389";"Philosophy of Film and Motion Pictures";"Noël Carroll";"Wiley-Blackwell";"0000";"http://www.martinus.sk/data/tovar/_m/111/m111389.jpg";"0";"Designed for classroom use, this authoritative anthology presents key selections from the best contemporary work in philosophy of film..."
"111390";"Cool! - Audio cassette - Starter";"Vanessa Reilly";"Oxford University Press";"0000";NULL;"0";"This is an easy-to-use course for children with two hours of English a week. It is now with a new Starter Level for pupils who have not yet learned to read..."
